WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
R-109 Academic Block I (50),,"SE4096-DSSE BSE-8A
 Dr. Muhammad Yaseen","MG4011-Entrepr BAI-8C
 Magdalene Gloria","SE4096-DSSE BSE-8A
 Dr. Muhammad Yaseen","AI4002-CV BCS-8A
 Bilal Ahsan","CS3002-IS BAI-8B
 Muhammad Usman","AI4002-CV BCS-8A
 Bilal Ahsan",,
A-1 Academic Block II (50),,,"SE 4001-SRE BSE-8B
 Maqsood Khatoon",,,"CS4001-PPIT-8C
 Saeeda Kanwal","CS3001-CN BSE-6A
Hira Tunio",,
A-2Academic Block II (50),,"CS4045-DLP BCS-6B
Dr. Jawwad Shamsi","CS4044-FSPM BCS-6A (A,B,C,D,E)
Ubaid Aftab",,"CS3014-AHCI BCS-6B
Kashan Hussain","AI2002-AI BCS-6B
Usama Antuley","CS1002-PF BCS-2B
Dr. Nasiruddin","CS1002-PF BCS-2B
Dr. Nasiruddin",
A-3 Academic Block II (50),,"CS1002-PF BCS-2A
Dr. Nasiruddin","CS1002-PF BCS-2A
Dr. Nasiruddin","SE 2002-SDA BSE-4B
Rubab Manzar","CS2006-OS BCS-4K
Anaum Hamid","SE 2002-SDA BSE-4A
Rubab Manzar","AI2002-AI BCS-4G
Anaum Hamid","AI2002-AI BCS-4E
Anaum Hamid","CS2005-DBS BAI-4A
Mehak Mazhar"
A-4 Academic Block II (50),,,,,,,,,
A-5 Academic Block II (50),"CS2012-TBW BCS-6A
Nazia Imam","CS2005-DBS BAI-4A
Mehak Mazhar","SE4032-BPE BSE-6A
Rubab Manzar","AI2002-AI BCS-6A
Fahad Sherwani","SE2001-SRE BSE-4B
Alina Arshad ","CT BSFT-4C
Faiza Iqbal ","CT BSFT-4B
Faiza Iqbal ","CT BSFT-4A
Faiza Iqbal ","CY4001-SSD BCY-6A
Ali Naseer Shah"
A-6 Academic Block II (50),"FOM BSFT-2B
 Asiya Zaheer ",,,"FOM BSFT-2D
 Zehra Mukhtiar ","Eng-II BSFT-2D
Khadija Shireen",,"AF BSFT-2D
Muhammad Ahsan ","AF BSFT-2D
Muhammad Ahsan ","FOM BSFT-2C
Museara Bhutto"
A-7 Academic Block II (50),"Eng-II BSFT-2D
Khadija Shireen",,"ICP BSFT-4B
 Mehmood Ahmed",,"PST  BSFT-2E
Sadaf Raees ","PST  BSFT-2E
Sadaf Raees ","PB BSFT-2E
 Sindhu","Eng-II BSFT-2E
Khadija Shireen","IDB BSFT-4A
Muhammad Khalid "
A-8 Academic Block II (53),"IDB BSFT-4B
Magdalene Gloria","DAB-1 BSFT-2B
Shoaib Anwer","Eng-II BSFT-2B
Huma Hafeez ","Eng-II BSFT-2B
Huma Hafeez ","PB BSFT-2A
 Ali Asadullah","PB BSFT-2C
Ali Asadullah ","DAB-1 BSFT-2A
Shoaib Anwer","DAB-1 BSFT-2C
Shoaib Anwer",
B-9 Academic Block II (53),,"IDB BSFT-4C
Sindhu  ","AF BSBA-2A
Muhammad Ahsan ","AF BSBA-2A
Muhammad Ahsan ","ICP BSFT-4C
 Mehmood Ahmed","ESSB BSFT-4A
Dr. Nazia Nazeer ","ICP BSFT-4A
 Mehmood Ahmed","ESSB BSBA-4A
Dr. Nazia Nazeer ","PB BSFT-2D
 Magdalene Gloria"
