MONDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
B-11 Academic Block II (53),,,,,"AF BSFT-2A
Muhammad Ahsan ","FOM BSFT-2A
Aleena ","PB BSFT-2E
 Sindhu",,"FOM BSFT-2A
Aleena "
C-12 Academic Block II (50),"BC BSBA-6A
Maimoona",EE1005-DLD BSEE-4B                                          Engr. Sadaf Ayesha,MT1004-LA BSEE-2B                                                            Engr. Maham Ghouri,,"BC BSFT-6A
Maimoona","BC BSBA-6A
Maimoona",,EE1005-DLD BSEE-4A                                          Dr. Hina Gohar,EE1005-DLD BSEE-4A                                          Dr. Hina Gohar
C-13 Academic Block II (50),CS1011-Prog. for Engrs. BSEE-2B                                                                             Dr. Burhan Khan,CS1011-Prog. for Engrs. BSEE-2B                                                                             Dr. Burhan Khan,EE2011-PRP BSEE-4B                                          Dr. Atif Saleem,EE2011-PRP BSEE-4B                                          Dr. Atif Saleem,EE1005-DLD BSEE-4B                                          Engr. Sadaf Ayesha,"EE2011-PRP BSEE-4A
 Dr. Atif Saleem","EE2011-PRP BSEE-4A
 Dr. Atif Saleem",EE2011-PRP BSEE-4C                                          Dr. Atif Saleem,
C-14 Academic Block II (50),EE2010-EMS BSEE-6AB                                           Engr. Rukhsar Ali,EE2010-EMS BSEE-6AB                                           Engr. Rukhsar Ali,MG3008-EE BSEE-6AB                                                                              Dr. Burhan Khan,EE4049-NSB BSEE-8A                                           Engr. Zakir Hussain,EE4049-NSB BSEE-8A                                           Engr. Zakir Hussain,"EE1005-DLD BSEE-4C
Dr. Hina Gohar",MG3008-EE BSEE-6AB                                                                              Dr. Burhan Khan,ME2001-BME BSEE-6AB                                           Engr. M. Amjad,
C-15 Academic Block II (50),,CS2011-FDB BSEE-8A                                                                 Dr. Ahsan Nadeem,CS2011-FDB BSEE-8A                                                                 Dr. Ahsan Nadeem,SS2011-TCS BSEE-4A                                           Ms. Javeriya Ahmed Hussain,SS2011-TCS BSEE-4A                                           Ms. Javeriya Ahmed Hussain,,MT1004-LA BSEE-2A                                          Engr. M. Amjad,SS1015-PST BSEE-2C + BSCE-2B                                           Ms. Khusboo,
C-16 Academic Block II (50),,"CS2006-OS BDS-4B
Saeeda Kanwal","CS2006-OS BDS-4B
Saeeda Kanwal",,,,,,
C-17 Academic Block II (59),"CS3004-SDA BCS-4C
Syed Ahmed Khan",,"BC BSFT-6A
Maimoona",,"CS2012-TBW BCS-6G
Nazia Imam",,,,
C-18 Academic Block II (50),"AI2002-AI BCS-4J
Dr. Shakil","CS2005-DBS BCS-4J
Shoaib Rauf","SS1015-PST BCS-4A
Sadaf Raees (VF)","SS1015-PST BCS-4A
Sadaf Raees (VF)","SS1015-PST BCS-4B
Afshan Hakim (VF)","SS1015-PST BCS-4D
Afshan Hakim (VF)","MT2005-Prob BCS-4D
Nadeem Arif Khan","MT2005-Prob BCS-4E
Syed Ashad",
C-19 Academic Block II (50),,,"MT2005-Prob BCS-4H
Nadeem Arif Khan","CS2005-DBS BCS-4C
Hajra Ahmed","AI2002-AI BCS-4C
Dr. Shakil","CS2006-OS BDS-4A
Saeeda Kanwal","MT2005-Prob BSE-4B
Uzma Saleh","CS2005-DBS BCS-4H
Basit Jasani","AI2002-AI BCS-4H
Dr. Farrukh salim"
C-21 Academic Block II (50),"SS1015-PST BSE-4A
Fatheia Khan (VF)","SS1015-PST BSE-4B
Fatheia Khan (VF)","MT2005-Prob BCS-4K
Uzma Saleh","CS2006-OS BCS-4F
Rabia Ahmed Ansari",,"CS2004-FSE BAI-4A
Sania Urooj","AI2002-AI BAI-4A
Farooq Zaidi","CS2006-OS BAI-4A
Saeeda Kanwal",
